epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1613.19,1.6185,1.57084,1.16074,0.48933,0.40861,0.40907,0.19727,1.48373,1.81061,1.0502,0.00333269,0.00333269,0.00333269
2,3194.04,1.58994,1.17987,1.15164,0.55507,0.45668,0.45663,0.21851,1.48275,1.02097,1.05508,0.00660003,0.00660003,0.00660003
3,4768.58,1.61635,1.12321,1.17111,0.55839,0.4391,0.44404,0.20911,1.50869,1.10011,1.07619,0.00980137,0.00980137,0.00980137
4,6345.47,1.61954,1.07719,1.17593,0.60577,0.46375,0.48901,0.23649,1.4716,1.01287,1.06323,0.009703,0.009703,0.009703
5,7920.11,1.57934,1.01538,1.15907,0.61612,0.49299,0.52429,0.2544,1.44886,0.98745,1.04718,0.009604,0.009604,0.009604
6,9520.18,1.55628,0.9784,1.14777,0.65561,0.49862,0.53797,0.26057,1.43186,0.943,1.04676,0.009505,0.009505,0.009505
7,11168.3,1.53218,0.94965,1.1393,0.66419,0.52169,0.55899,0.27645,1.41425,0.87936,1.03812,0.009406,0.009406,0.009406
8,12740.5,1.51919,0.93398,1.13689,0.68048,0.51802,0.5686,0.28667,1.40383,0.8522,1.03475,0.009307,0.009307,0.009307
9,14316.1,1.5063,0.9154,1.12834,0.67175,0.52875,0.56789,0.28292,1.39662,0.83595,1.02639,0.009208,0.009208,0.009208
10,15892.8,1.49704,0.90339,1.12447,0.67127,0.53312,0.57629,0.29054,1.39117,0.81475,1.02475,0.009109,0.009109,0.009109
11,17575.6,1.48876,0.89349,1.11919,0.71947,0.53662,0.59319,0.29705,1.37079,0.84104,1.01722,0.00901,0.00901,0.00901
12,19294.7,1.4774,0.87828,1.11571,0.71067,0.53988,0.60342,0.30451,1.36352,0.82603,1.01442,0.008911,0.008911,0.008911
13,21035.6,1.47033,0.87319,1.11129,0.69866,0.56939,0.61062,0.31132,1.35948,0.79797,1.01242,0.008812,0.008812,0.008812
14,22700.7,1.46492,0.86697,1.10587,0.71716,0.55785,0.61625,0.31445,1.35514,0.78518,1.00871,0.008713,0.008713,0.008713
15,24379.5,1.45411,0.85682,1.101,0.7275,0.56121,0.61996,0.32088,1.34517,0.78343,1.00507,0.008614,0.008614,0.008614
16,26001.9,1.45048,0.85561,1.10024,0.73096,0.55693,0.61992,0.3207,1.34203,0.77238,1.00213,0.008515,0.008515,0.008515
17,27680.7,1.44541,0.84547,1.09992,0.73773,0.57115,0.62801,0.32819,1.33399,0.76649,0.99889,0.008416,0.008416,0.008416
18,29278.1,1.43814,0.84274,1.09799,0.7317,0.5781,0.63492,0.33252,1.3336,0.75762,0.99793,0.008317,0.008317,0.008317
19,30843.3,1.43251,0.82867,1.09336,0.75533,0.58111,0.64099,0.33405,1.3226,0.75068,0.99431,0.008218,0.008218,0.008218
20,32413.4,1.43186,0.83509,1.09212,0.74492,0.59155,0.64853,0.3409,1.3231,0.75342,0.99486,0.008119,0.008119,0.008119
21,33977,1.42429,0.82446,1.09009,0.75071,0.58734,0.65193,0.34291,1.31761,0.74039,0.99129,0.00802,0.00802,0.00802
22,35544.3,1.4212,0.82076,1.08802,0.76135,0.58638,0.65502,0.34366,1.31397,0.74131,0.99004,0.007921,0.007921,0.007921
23,37114.3,1.42141,0.81914,1.08837,0.75284,0.59704,0.65704,0.34667,1.30927,0.73483,0.98839,0.007822,0.007822,0.007822
24,38675.4,1.41221,0.81546,1.08475,0.76945,0.59064,0.66136,0.35204,1.30267,0.73153,0.98514,0.007723,0.007723,0.007723
25,40246.9,1.41155,0.81111,1.08329,0.77036,0.58961,0.66114,0.35097,1.30088,0.72721,0.98404,0.007624,0.007624,0.007624
26,41812.7,1.40308,0.80815,1.08017,0.7656,0.59233,0.66136,0.3525,1.29828,0.7161,0.9821,0.007525,0.007525,0.007525
27,43406.1,1.40527,0.80727,1.08108,0.77245,0.59531,0.66561,0.35529,1.29454,0.71845,0.98167,0.007426,0.007426,0.007426
28,44973.7,1.40023,0.80132,1.08009,0.76694,0.60239,0.66562,0.35665,1.29358,0.72303,0.98118,0.007327,0.007327,0.007327
29,49228.9,1.3935,0.79511,1.07589,0.77875,0.59373,0.66817,0.35789,1.29367,0.72146,0.98046,0.007228,0.007228,0.007228
30,50799.9,1.39447,0.79403,1.07592,0.77185,0.59891,0.66947,0.35968,1.28722,0.71668,0.97832,0.007129,0.007129,0.007129
31,52371.3,1.38819,0.79376,1.07519,0.76839,0.60465,0.67243,0.36169,1.28335,0.71411,0.97688,0.00703,0.00703,0.00703
32,53944.2,1.38328,0.78514,1.07204,0.78036,0.60063,0.67491,0.36465,1.28019,0.71547,0.9754,0.006931,0.006931,0.006931
33,55518.5,1.38332,0.78737,1.07315,0.7626,0.60564,0.67257,0.36519,1.27765,0.71094,0.97422,0.006832,0.006832,0.006832
34,57090.5,1.38147,0.78064,1.07084,0.77159,0.60644,0.67715,0.36775,1.27696,0.70665,0.97404,0.006733,0.006733,0.006733
35,58661.3,1.37755,0.78359,1.07219,0.77445,0.60504,0.67662,0.36867,1.27407,0.70419,0.9734,0.006634,0.006634,0.006634
36,60233.6,1.37487,0.77931,1.06818,0.77433,0.60538,0.67571,0.3687,1.27205,0.70205,0.97221,0.006535,0.006535,0.006535
37,61800.1,1.36877,0.77279,1.0656,0.77859,0.6051,0.67693,0.37029,1.26989,0.69754,0.97092,0.006436,0.006436,0.006436
38,63373.8,1.36573,0.77074,1.06534,0.78423,0.60741,0.67945,0.3709,1.26759,0.69328,0.97002,0.006337,0.006337,0.006337
39,64947.7,1.36596,0.76906,1.06699,0.78305,0.608,0.68064,0.37183,1.26609,0.69052,0.96957,0.006238,0.006238,0.006238
40,66521.3,1.3609,0.76624,1.06263,0.78069,0.61359,0.68357,0.37331,1.26483,0.69044,0.96871,0.006139,0.006139,0.006139
41,68094.3,1.36095,0.76461,1.06101,0.78995,0.61009,0.68464,0.3742,1.2632,0.68866,0.96802,0.00604,0.00604,0.00604
42,69670.6,1.35653,0.76049,1.05919,0.78815,0.61181,0.68541,0.37477,1.26153,0.68707,0.96708,0.005941,0.005941,0.005941
43,78568.7,1.35214,0.75931,1.05537,0.78832,0.61563,0.6859,0.37657,1.26082,0.68599,0.96634,0.005842,0.005842,0.005842
